Id,sasa,eig_wt_final_sym,modularity_class
1125,6.234677,0.000006,3
56,6.041583,0.000006,3
532,6.573071,0.000006,3
984,6.090698,0.000006,3
1137,6.462416,0.000006,5
1062,6.572876,0.000006,3
1149,6.087013,0.000006,3
714,6.699013,0.000006,5
556,6.20963,0.000006,3
1026,5.82837,0.000006,0
521,6.175891,0.000005,5
320,6.789751,0.000005,5
794,5.900567,0.000005,3
993,6.567313,0.000005,5
891,6.684311,0.000005,5
441,6.129992,0.000005,3
1028,6.266466,0.000005,0
636,6.343621,0.000005,5
948,6.036328,0.000005,3
238,6.156815,0.000005,3
350,5.677459,0.000005,5
785,6.113994,0.000005,0
1117,6.393688,0.000005,3
429,5.643086,0.000005,1
317,6.041385,0.000005,0
145,5.995592,0.000005,3
212,6.104608,0.000005,5
123,6.032879,0.000005,3
1001,6.337424,0.000004,3
443,6.300634,0.000004,3
467,6.315294,0.000004,3
30,6.376669,0.000004,5
854,5.994579,0.000004,3
725,6.7282,0.000004,5
887,6.153743,0.000004,5
972,5.762502,0.000004,3
677,6.132558,0.000004,5
460,5.909398,0.000004,3
696,6.420733,0.000004,3
1172,6.090952,0.000004,3
711,6.232466,0.000004,3
80,6.180476,0.000004,3
504,6.021255,0.000003,3
221,6.020874,0.000003,3
756,6.180706,0.000003,5
569,6.149324,0.000003,4
691,6.364849,0.000003,5
813,6.10225,0.000003,3
942,6.429632,0.000003,3
176,6.348594,0.000003,5
589,6.400228,0.000003,5
514,5.936515,0.000003,3
472,6.124334,0.000003,3
437,6.398623,0.000003,3
1078,5.842923,0.000003,4
1084,6.351409,0.000003,5
715,6.172282,0.000003,4
1068,6.233648,0.000003,3
664,6.61648,0.000003,3
671,6.391669,0.000003,3
628,6.649224,0.000003,3
1097,6.449385,0.000003,5
240,6.473555,0.000003,3
930,6.664325,0.000003,3
911,6.224883,0.000003,3
868,6.034627,0.000003,5
53,6.548449,0.000002,3
1198,6.455078,0.000002,3
961,5.62739,0.000002,0
740,6.296374,0.000002,3
148,6.566583,0.000002,3
134,6.572236,0.000002,5
335,6.118079,0.000002,3
571,6.509052,0.000002,3
396,6.557961,0.000002,5
61,6.269389,0.000002,3
536,6.362514,0.000002,3
347,6.456559,0.000002,3
264,6.412727,0.000002,3
655,6.512211,0.000002,5
353,6.670125,0.000002,3
1156,5.438632,0.000002,3
324,6.311368,0.000002,5
292,6.233774,0.000002,3
607,6.506114,0.000002,3
776,6.193327,0.000002,3
383,6.391882,0.000002,5
374,6.16032,0.000002,4
1073,6.195682,0.000002,5
935,6.213292,0.000002,3
91,6.766934,0.000002,3
568,6.273591,0.000002,5
795,6.769732,0.000002,5
1035,6.069904,0.000002,3
142,6.290969,0.000002,5
906,6.303708,0.000002,3
470,6.464206,0.000002,4
455,6.655075,0.000002,5
688,6.465345,0.000002,5
281,6.40421,0.000002,5
149,6.732938,0.000002,5
735,6.040115,0.000002,1
742,6.321421,0.000002,1
686,6.013562,0.000002,3
927,6.757068,0.000002,3
453,6.610193,0.000002,5
739,6.453257,0.000002,5
986,6.498044,0.000002,3
582,6.291484,0.000002,1
273,6.701274,0.000002,5
392,6.269951,0.000002,5
653,6.226576,0.000002,3
1077,6.239632,0.000002,3
98,6.663616,0.000002,3
1116,6.422747,0.000002,4
678,6.4029,0.000002,5
897,6.612215,0.000002,3
388,5.843173,0.000002,3
39,6.452102,0.000002,3
228,6.338748,0.000002,5
381,6.583974,0.000002,3
960,5.994506,0.000002,1
1195,6.143577,0.000001,3
118,6.198532,0.000001,3
1121,6.331942,0.000001,5
550,6.737115,0.000001,5
1187,6.185634,0.000001,3
836,6.282243,0.000001,1
84,6.358867,0.000001,5
965,6.631603,0.000001,5
323,5.973954,0.000001,3
581,6.571324,0.000001,3
784,5.55585,0.000001,1
1168,6.958463,0.000001,5
873,6.747612,0.000001,5
1,6.213222,0.000001,3
